question,answer,A,B,C,D,Category,Human Accuracy
하이시에라 표준안(High Sierra specification)은 무엇에 관한 표준안인가?,2,멀티미디어,CD-ROM,PC-MPC,컴퓨터 그래픽,Information Technology,0.4545
사무자동화를 추진하는데 있어 먼저 적용할 특정 부문을 선정하여 사무자동화를 추진해가는 접근 방식은?,3,공통과제형 접근방식,전사적 접근방식,부문 전개 접근방식,업무별 접근방식,Information Technology,0.5625
파일의 자료구조에 근거한 데이터베이스 모델이 아닌 것은?,4,네트워크 데이터베이스 모델,관계 데이터베이스 모델,계층적 데이터베이스 모델,이진 데이터베이스 모델,Information Technology,0.4443999999999999
전자상거래시 결제수단의 발행자가 소비자에게 반드시 고지하지 않아도 되는 것은?,4,잔여금의 현금 환불과 관련된 사항,반품 시 처리 기준과 관련된 사항,결제수단 사용상 제한 및 주의사항,결제절차와 관련된 사항,Information Technology,0.4443999999999999
데이터베이스의 설명으로 틀린 것은?,1,파일 파손시 백업과 복구가 쉽다.,데이터의 중복을 최소화하여 기억 공간을 절약할 수 있다.,여러 사용자가 정보를 공유하므로 표준화하여 효율적인 자료관리가 가능하다.,다수의 사용자들이 서로 다른 목적으로 데이터를 공유하는 것이 가능하다.,Information Technology,0.8332999999999999
사무자동화의 배경요인 및 필요성이 아닌 것은?,1,고생산성과 고설비 투자,문서 작성비 및 보관비 상승,컴퓨터 기술과 통신기술의 발전,고학력 노동자의 증가와 사무관리의 질적인 효율성 필요,Information Technology,0.5455
사무자동화 추진과 관련하여 시스템과학을 적용하는데 있어서 갖춰야 할 특징으로 잘못된 것은?,1,고정된 작업공정에 적용,반환(feedback) 기능,입력과 출력의 분석,목적ㆍ목표의 계속적 추구,Information Technology,0.7
PDF에 대한 설명으로 옳지 않은 것은?,2,대부분의 문서가 표현 가능하다.,인쇄 상태 그대로를 컴퓨터에서 보여주므로 디지털 출판에 적합하지 않다.,장치의 독립성 및 해상도 독립성을 가진다.,이동 가능한 문서 형식이다.,Information Technology,0.6470999999999999
데이터베이스 관리 시스템(DBMS)은 응용프로그램들이 데이터베이스를 공용할 수 있도록 관리해 주는 소프트웨어 시스템으로 DBMS가 가지는 기능으로 옳지 않은 것은?,1,탐색 기능,정의 기능,조작 기능,제어 기능,Information Technology,0.625
CPU와 입ㆍ출력 장치와의 속도 차이를 줄이기 위해 사용하는 기법은?,4,Storage Protection,Storage Interleaving,Polling,Buffering,Information Technology,0.4286
채널에 관한 설명 중 틀린 것은?,4,주기억장치와 입출력장치 사이에서 입출력을 제어한다.,전체 시스템의 입출력 처리속도를 향상시킨다.,멀티플렉서 채널은 저속의 입출력장치를 제어해준다.,셀렉터 채널은 고속의 CPU 장치를 제어해준다.,Information Technology,0.0
시스템에서 대기상태로 있다가 서비스 요청이 들어오면 해당 서비스를 실행하는 기능을 하는 것은?,2,운영체제,데몬,프로세서,커널,Information Technology,0.0
"프로그램저작자가 프로그램의 제호, 내용 및 형식의 동일성을 유지할 권리를 가진 경우는?(오류 신고가 접수된 문제입니다. 반드시 정답과 해설을 확인하시기 바랍니다.)",1,프로그램을 특정 지역이나 연령대에 보다 효과적으로 사용할 수 있도록 하기 위하여 필요한 범위 안에서의 변경,특정한 컴퓨터 외에는 사용할 수 없는 프로그램을 다른 컴퓨터에 사용할 수 있도록 하기 위하여 필요한 범위 안에서의 변경,프로그램을 특정한 컴퓨터에 보다 효과적으로 사용할 수 있도록 하기 위하여 필요한 범위 안에서의 변경,프로그램의 성질 또는 그 사용목적에 비추어 부득이하다고 인정되는 범위 안에서의 변경,Information Technology,0.5
"정보통신망을 이용하여 일반에게 공개할 목적으로 부호, 문자, 음성, 음향, 화상, 동영상 등의 정보를 이용자가 게재할 수 있는 컴퓨터 프로그램이나 기술적 장치를 의미하는 것은?",3,블로그,카페,게시판,홈페이지,Information Technology,0.0
산업보건기준에 관한 규칙에 의거한 강렬한 소음작업에 해당되지 않는 것은?,2,90데시벨 이상의 소음이 1일 8시간 이상 발생되는 작업,95데시벨 이상의 소음이 1일 2시간 이상 발생되는 작업,105데시벨 이상의 소음이 1일 1시간 이상 발생되는 작업,110데시벨 이상의 소음이 1일 30분 이상 발생되는 작업,Information Technology,0.0
“사무관리규정”에 따른 공문서의 분류에 해당하지 않는 것은?,4,법규문서,비치문서,일반문서,비밀문서,Information Technology,0.0
C 언어에서 사용되는 데이터형이 아닌 것은?,2,long,integer,double,float,Information Technology,0.4
Backus-Naur Form 표기에서 정의를 의미하는 기호는?,4,#,==,=,::=,Information Technology,0.4
C 언어의 do ∼ while 문에 대한 설명 중 틀린 것은?,1,문의 조건이 거짓인 동안 루프처리를 반복한다.,문의 조건이 처음부터 거짓일 때도 문을 최소 한번은 실행한다.,무조건 한 번은 실행하고 경우에 따라서는 여러 번 실행하는 처리에 사용하면 유용하다.,문의 맨 마지막에 “;”이 필요하다.,Information Technology,0.6
글꼴의 크기에 대한 설명 중 옳지 못한 것은?,4,전각 문자는 문자의 폭과 높이의 비율이 1:1인 문자를 말한다.,횡배 문자는 전각 문자를 가로로 2배 확대한 문자를 말한다.,첨자는 전각 문자의 1/4 축소 문자를 말한다.,양배 문자는 전각 문자를 세로로 2배 확대한 문자를 말한다.,Information Technology,0.0
한글 Windows XP의 [제어판]에 있는 [키보드]의 등록정보 창에 관한 설명으로 옳지 않은 것은?,3,문자 반복에 의한 반복 속도를 조절할 수 있다.,문자 반복에 의한 재입력 시간을 조절할 수 있다.,커서 모양을 변경할 수 있다.,커서 깜박임 속도를 조절할 수 있다.,Information Technology,0.5
원시 프로그램을 기계어로 된 목적 프로그램으로 변환하지 않고 한 문장씩 번역하여 실행해 주는 프로그램을 무엇이라 하는가?,4,운영체제,컴파일러,어셈블러,인터프리터,Information Technology,0.0
여러 입출력 장치와 컴퓨터 본체의 연결 방법 중 허브 구조로 연결이 가능하며 최대 127대까지의 외부장치를 연결 할 수 있는 방식은 어느 것인가?,4,AGP(Accelerated Graphics Port),SATA(Serial ATA),SCSI(Small Computer System Interface),USB(Universal Serial Bus),Information Technology,0.0
"원래는 자신의 분신(分身)을 뜻하는 말로, 사이버 게임이나 인터넷 채팅에서 자신의 역할을 대신하는 애니메이션 인물을 나타내는 그래픽 이미지를 무엇이라 하는가?",3,캐릭터(Character),렌더링(Rendering),아바타(Avatar),호스트(Host),Information Technology,0.0
"바이러스는 컴퓨터의 데이터를 파괴, 손상시키기 위해 만들어진 일종의 소프트웨어이다. 바이러스를 예방하기 위한 방법으로 가장 거리가 먼 것은?",2,메모리 상주 백신 프로그램을 사용한다.,ScanDisk 프로그램으로 디스크 검사를 한다.,보낸 사람이 불명확한 전자우편은 바로 삭제한다.,다른 컴퓨터로부터 파일을 복사했을 경우 열거나 수행시키기 전에 바이러스 검사를 한다.,Information Technology,0.0
정보통신의 발달로 인해서 해킹을 통한 컴퓨터 범죄가 급증하고 있다. 해킹을 방지하기 위한 대책으로 옳지 않은 것은?,4,비밀번호를 수시로 변경한다.,해킹 방지를 위한 보안 관련 프로그램을 보급한다.,사용자에 대한 보안 교육을 정기적으로 실시한다.,해킹으로부터 보호하기 위해 네트워크 서비스를 중지한다.,Information Technology,0.0
운영 체제를 사용자(user)의 수와 작업(task)의 수에 따라 분류하였을 경우 옳지 않은 것은?,3,단일 사용자/단일 테스크,단일 사용자/다중 테스크,다중 사용자/단일 테스크,다중 사용자/다중 테스크,Information Technology,0.0
하나의 프로세서(CPU)로 여러 개의 프로그램을 동시에 처리하는 방식을 일컫는 용어는?,2,멀티프로세싱(Multi-processing),멀티프로그래밍(Multi-programming),멀티유저(Multi-user),멀티플렉싱(Mutiplexing),Information Technology,0.0
문서를 정정한 때에 문서의 여백에 정정한 자수를 표시하고 반드시 관인을 찍어야 하는 문서는?,2,기안문,시행문,모든 공문서,전자문서,Information Technology,0.0
한글 Windows XP의 [디스크 정리] 프로그램으로 디스크 공간을 확보하기 위하여 제거할 수 있는 항목으로 옳지 않은 것은?,1,백업 파일,다운로드한 프로그램 파일,휴지통 내의 파일,임시 인터넷 파일,Information Technology,1.0
한글 Windows XP[그림판]에서 [선택] 도구에 의해 지정된 부분만 그림파일로 디스크에 저장하려고 할 경우에 메뉴 선택 방법으로 옳은 것은?,2,[파일]-[저장],[편집]-[선택 영역 저장],[파일]-[다른 이름으로 저장],[편집]-[파일로부터 붙여 넣기],Information Technology,0.0
한글 Windows XP에서 [Ctrl]-[Alt]-[Delete] 키를 동시에 누른 이후에 할 수 있는 작업으로 옳지 않은 것은?,4,특정 응용 프로그램의 작업 끝내기,시스템 종료,현재 실행중인 프로그램의 목록 보기,응답이 없는 응용 프로그램의 삭제,Information Technology,0.0
한글 Windows XP에서 현재 사용 중인 운영체제 시스템이 설치되어 있지 않은 하드 디스크 드라이브의 [포맷] 창에서 [빠른 포맷]에 관한 설명으로 가장 옳지 않은 것은?,4,디스크에서 파일을 모두 제거하게 된다.,이전에 포맷된 디스크에만 사용할 수 있다.,불량 섹터를 검사하지 않는다.,디스크가 손상되었을 경우에 선택한다.,Information Technology,0.0
한글 Windows XP에서 [프로그램 추가/제거] 대화상자에서 선택할 수 있는 항목이 아닌 것은?,2,[기본 프로그램 설정],[MS-DOS 시동 디스크 작성],[프로그램 변경/제거],[새 프로그램 추가],Information Technology,0.0
한글 Windows XP에서 사용하는 바로가기 아이콘에 대한 설명으로 옳지 않은 것은?,3,바로가기 아이콘은 왼쪽 아래 부분에 꺾어진 화살표 표시가 붙는다.,바로가기 아이콘을 삭제할 경우에 원본 프로그램에는 영향을 주지 않는다.,바탕화면에만 만들 수 있다.,해당 파일이나 폴더의 바로가기 메뉴를 사용하여 바로가기 아이콘으로 만들 수 있다.,Information Technology,0.0
한글 Windows XP에서 사용하는 폴더와 관련된 설명으로 옳지 않은 것은?,4,하위 폴더를 만들려면 원하는 위치에서 바로 가기 메뉴의 [새로 만들기]에서 [폴더]를 선택한다.,폴더는 읽기 전용과 숨김의 특성을 갖는다.,폴더 창에서 하위 폴더를 만들려면 주메뉴 [파일]의 [새로 만들기]에서 [폴더]를 선택한다.,폴더 창에 있는 하위 폴더 아이콘 위에서 마우스의 오른쪽 버튼을 더블 클릭하면 복사할 수 있다.,Information Technology,0.0
한글 Windows XP에서 바탕화면에 있는 [내 컴퓨터] 바로 가기 메뉴의 선택 항목이 아닌 것은?,2,바로 가기 만들기,컴퓨터 찾기,삭제,이름 바꾸기,Information Technology,0.0
공고문서의 경우에 특별한 규정이 있는 경우를 제외하고는 그 고시 또는 공고가 있은 후 며칠이 경과한 날로부터 효력을 발생하는가?,3,1일,3일,5일,7일,Information Technology,0.0
"한글 Windows XP에서 현재 사용 중인 하드디스크 드라이브의 이름표와 사용공간, 여유공간, 파일 시스템 등을 확인하는 방법으로 옳은 것은?",1,해당 드라이브를 선택한 후 등록정보를 확인한다.,해당 드라이브를 더블클릭한다.,[제어판]-[시스템]-[장치관리자]에서 확인한다.,[탐색기]의 [도구] 메뉴에서 [폴더 옵션]을 선택한다.,Information Technology,1.0
